¿Cuál es el costo actual del plan Costo del plan Conectar – Igualdad y cuales son sus mecanismos de financiamiento?,DesarrolloSocial 
"Sobre Instituto Nacional de Servicios Sociales para Jubilados y Pensionados (PAMI): 
Indique la cantidad de bienes inmuebles, en los que el PAMI actúa como locatario, con indicación de fecha de celebración del contrato y precio de dicho alquiler. -",Salud  
"Informe sobre una estimación de las pérdidas en materia de producción agropecuaria, separando por cultivo, en función de las condiciones climáticas.",Agroindustria 
"Inflación: ¿Cuáles son las medidas monetarias, fiscales y de otra índole, adoptadas y a adoptar, a efectos de reducir la inflación?",PolíticaEconómica
"Según  índices de público conocimiento, las ventas de comercios minoristas cayeron un 9,2 por ciento en el mes de mayo. Respecto a esta situación ¿Qué políticas económicas tiene planificado implementar el Poder Ejecutivo  para ayudar a estos comercios frente a los ajustes tarifarios y otros incrementos que los limita para lanzar ofertas o promociones que beneficien a la reactivación en sus ventas?",Energía 
"En la anterior visita del Jefe de Gabinete solicitamos el Plan Plurianual de inversiones 2016-2019 del Plan Belgrano y se nos informó que se estaba terminado de configurar (Informe Jefe de Gabinete de Ministros N 91- HCDN. Página 731). Si ya fue configurado, solicitamos nos informe el Plan Plurianual de Inversiones 2016-2019 del Plan Belgrano.",ObraPública
"La Resolución 3878/16 de la AFIP establece un mecanismo de liquidación trimestral del IVA para pymes. Sin embargo, se había solicitado que el pago del IVA se hiciera a los 90 días de la respectiva facturación que le da origen. En lugar de esto se anunció un ""pago trimestral"" que lo que hace es acumular saldos durante un trimestre para su efectivo pago al finalizar el período. De esta manera puede darse el caso de una factura cuyo IVA sea pagado a la semana (si se emite cerca del final del trimestre) junto con el resto de los saldos (y no a los 90 días como se solicitaba). Esta medida, bien intencionada para las pymes para que puedan disponer de mayor liquidez financiera para capital de trabajo, puede terminar siendo perjudicial para las mismas. Se planea revertir o modificar esta resolución?",PolíticaEconómica
¿Cuál es la situación actual de las negociaciones para el acuerdo de Libre Comercio entre la Unión Europea y el MERCOSUR? ¿Cuáles han sido los avances en los últimos meses? ¿El gobierno ha previsto mecanismos de información del proceso para los distintos sectores de nuestro país involucrados con los principales puntos del acuerdo?,RelacionesExteriores 
"Indique la cantidad de empleados públicos nacionales que desarrollan actividades en las distintas reparticiones del Estado Nacional, Entes Autárquicos, Descentralizados y Empresas Estatales Nacionales con sede en el territorio de la Provincia de San Luis. Indique la cantidad por repartición o ente nacional.  ",Empleo 
Informe el detalle discriminado de las transferencias en el primer trimestre a las 23 provincias y la Ciudad Autónoma de Buenos Aires.,PolíticaEconómica
"- Por  qué motivo el Ministerio de Seguridad disolvió el Grupo Especializado de Asistencia Judicial (GEAJ) teniendo en cuenta que dicha área fue motivo del Acuerdo de Solución Amistosa entre Abuelas de Plaza de Mayo y el Estado Nacional, ante la Comisión Interamericana de Derechos Humanos en el año 2009 (Acuerdo publicado en el Boletín Oficial el 20/11/09) ",Justicia 
"Informe especialmente sobre los despidos en la UDAI Mercedes, provincia de Corrientes de la Administración Nacional de la Seguridad Social (ANSES), producidos entre el 11 de Diciembre de 2015 y el 01 de Junio de 2016.",Empleo 
